area_code,year,education_spending_allocation
ITA,2001,9.83232021331787
ITA,2002,9.49643039703369
ITA,2003,9.6374397277832
ITA,2004,9.36435031890869
ITA,2005,8.97474956512451
ITA,2006,9.47148036956787
ITA,2007,8.7716703414917
ITA,2008,9.15561008453369
ITA,2009,8.82258033752441
ITA,2010,8.66740036010742
ITA,2011,8.35120010375977
ITA,2012,7.99275016784668
ITA,2013,8.0979700088501
ITA,2014,7.96660995483398
ITA,2015,8.06910037994385
ITA,2016,7.74909019470215
ITA,2017,8.25417041778564
ITA,2018,8.77663993835449
ITA,2019,8.42236995697021
ITA,2020,7.78043985366821
ITA,2021,7.44333982467651
ITA,2022,7.40515995025635
