area_code,year,infrastructure_investment_allocation
ITA,2001,21.191892455513
ITA,2002,21.81208675062
ITA,2003,21.2842346571997
ITA,2004,21.3598020854476
ITA,2005,21.6734394073244
ITA,2006,21.9242418666958
ITA,2007,21.9944755997434
ITA,2008,21.562045770846
ITA,2009,20.3159597572588
ITA,2010,20.2386645229593
ITA,2011,19.9088467204091
ITA,2012,18.4823918939236
ITA,2013,17.3118980803026
ITA,2014,16.8397294480548
ITA,2015,17.0809179970368
ITA,2016,17.2934651927051
ITA,2017,17.5794629155864
ITA,2018,17.9722011780771
ITA,2019,18.1291790303995
ITA,2020,18.2018164062184
ITA,2021,20.7705217357607
ITA,2022,21.7757352760856
ITA,2023,22.6587144031483
ITA,2024,22.1523278072561
