area_code,year,fdi_inflows_usd
ITA,2001,14878086498.8458
ITA,2002,17239360004.8834
ITA,2003,19572886733.5721
ITA,2004,20100742901.8036
ITA,2005,36762073074.9389
ITA,2006,56995485107.01
ITA,2007,65975535145.4856
ITA,2008,-9501579210.4657
ITA,2009,16607196344.8457
ITA,2010,9930501390.90892
ITA,2011,34465481829.5316
ITA,2012,34901033.014975
ITA,2013,19531411961.8184
ITA,2014,17032744039.0433
ITA,2015,13303439230.2377
ITA,2016,25656663794.7916
ITA,2017,8737024578.66006
ITA,2018,44249715319.1483
ITA,2019,35760550299.4852
ITA,2020,-17050399620.8672
ITA,2021,26253856510.1011
ITA,2022,61897757337.9736
ITA,2023,42019753074.4716
ITA,2024,26903748175.4513
