area_code,year,energy_consumption_per_capita
ITA,2001,3020.75373063924
ITA,2002,3035.91851152815
ITA,2003,3164.10814422149
ITA,2004,3162.43494730256
ITA,2005,3204.1351997897
ITA,2006,3162.24131154867
ITA,2007,3132.89653716264
ITA,2008,3067.89962633863
ITA,2009,2848.10100531328
ITA,2010,2904.35856014464
ITA,2011,2798.23628262725
ITA,2012,2680.46208450702
ITA,2013,2576.45615324387
ITA,2014,2433.16257781775
ITA,2015,2533.02354460955
ITA,2016,2511.46353090755
ITA,2017,2557.32535513975
ITA,2018,2503.3498604998
ITA,2019,2494.02659804115
ITA,2020,2313.10006204514
ITA,2021,2531.08698798735
ITA,2022,2411.65172417311
ITA,2023,2298.39093933589
ITA,2024,2231.202099939
