area_code,year,fiscal_balance_pct_gdp
ITA,2001,-2.77795799264127
ITA,2002,-2.07189509165581
ITA,2003,-2.87583268662113
ITA,2004,-2.55366532903898
ITA,2005,-3.31364761331519
ITA,2006,-2.69452943403663
ITA,2007,-1.28968446665551
ITA,2008,-2.45911891985417
ITA,2009,-4.85806891303036
ITA,2010,-3.70890302987488
ITA,2011,-3.24485498703904
ITA,2012,-3.26621648559295
ITA,2013,-2.92815338088439
ITA,2014,-2.9923514126147
ITA,2015,-2.79069454246877
ITA,2016,-2.56449706300829
ITA,2017,-2.65154403027126
ITA,2018,-2.37874466093101
ITA,2019,-1.55171637768624
ITA,2020,-9.24532334170793
ITA,2021,-8.65353376599736
ITA,2022,-7.98754759962176
ITA,2023,-7.42415167504068
ITA,2024,-3.44286834349615
