area_code,year,homicides_per_100k
ITA,2001,1.23722291409081
ITA,2002,1.12154817534866
ITA,2005,1.04238414237751
ITA,2006,1.06374952167439
ITA,2007,1.06752438557289
ITA,2008,1.03254300197422
ITA,2009,0.984909015398894
ITA,2010,0.879260233986606
ITA,2011,0.914393555930683
ITA,2012,0.87557696185202
ITA,2013,0.827647126909968
ITA,2014,0.782999237037301
ITA,2015,0.774242762514025
ITA,2016,0.668010320924807
ITA,2017,0.622616360456986
ITA,2018,0.595578796289962
ITA,2019,0.527189893600108
ITA,2020,0.475691584209703
ITA,2021,0.50728829294141
ITA,2022,0.540095240763765
ITA,2023,0.568072449338316
