area_code,year,life_expectancy_years
ITA,2001,80.1268292682927
ITA,2002,80.2292682926829
ITA,2003,79.9829268292683
ITA,2004,80.7804878048781
ITA,2005,80.7829268292683
ITA,2006,81.2829268292683
ITA,2007,81.4341463414634
ITA,2008,81.4853658536585
ITA,2009,81.6365853658537
ITA,2010,82.0365853658537
ITA,2011,82.1878048780488
ITA,2012,82.2390243902439
ITA,2013,82.690243902439
ITA,2014,83.090243902439
ITA,2015,82.5439024390244
ITA,2016,83.2439024390244
ITA,2017,82.9463414634147
ITA,2018,83.3463414634146
ITA,2019,83.4975609756098
ITA,2020,82.1951219512195
ITA,2021,82.6463414634146
ITA,2022,82.7
ITA,2023,83.3512195121951
ITA,2024,83.9512195121951
